month,type,date,name,meta
3月,op,3/2(一),TW初賽 — 賽事網站公開,線上網站
3月,op,3/6(五),TW初賽 — MAIC賽事開放報名,線上網站
3月,tr,3/6(五),RTC｜趨勢AI置感助理：說出想法，形成計畫,臺灣大學 · 講師：13 · 14:00–17:00
3月,tr,3/13(五),RTC｜與AI一起開發：Agentic CLI實作,臺灣大學 · 講師：13 · 14:00–17:00
3月,tr,3/14(六),多元講座 — AI Coding Summer Camp 第一次宣傳體驗,TBC
3月,mk,3/18(三),高雄科技大學宣講會,講師：YY · 燕巢校區 · 150餘人 · 14:00–14:30
3月,mk,3/19(四),臺灣大學宣講會暨實體工作坊,講師：Ethan/Brandi · 15人 · 09:30–12:30
3月,tr,3/20(五),RTC｜行動裝置本地端原生AI功能開發實務,臺灣大學 · 講師：13 · 14:00–17:00
3月,mk,3/20(五),文化大學宣講會,講師：Edick & Brandi · 30人 · 10:00–11:00
3月,mk,3/25(三),海洋大學宣講會,講師：Brandi · 15人 · 11:40–12:30
3月,tr,3/27(五),RTC｜裝置端開源模型AI功能開發實務,臺灣大學 · 講師：13 · 14:00–17:00
4月,mk,4/1(三),慈濟大學宣講會,講師：Lynn · 45人 · 16:10–16:30
4月,mk,4/1+4/9,東華大學學生社群（LINE群組）,觸及1259人，潛在4038人
4月,mk,4/2+4/9,東華大學線上宣講會,講師：Lynn · 線上 · 累計10人 · 12:30–13:30
4月,mk,4/8+4/9,東華大學全校公告 + 校內信,估計觸及超過10000人
4月,mk,4/9(四),東華大學宣講會,東華大學
4月,tr,4/10(五),RTC｜多模態AI技術在教學情境中的應用,臺灣大學 · 講師：Raymond（侯智薰）· 14:00–17:00
4月,tr,4/23(四),多元講座 — 【AI Coding】從點子到 App 的最短路徑（上）,18:30–21:30
4月,mk,2026/4/24(五),逢甲大學學長姐分享宣講會,逢甲大學
4月,mk,4月下旬,成功大學宣講會暨工作坊,講師：13 · 等Edick確認
4月,mk,4月下旬,清華大學宣講會,TBC · SA有跟Max提及
4月,mk,4/30(四),臺灣大學宣講會 & 90分鐘完成一支作品：參賽短片拍攝知識＋Beat Detection 節奏快剪技巧,講師：Curly · 09:30–12:30
4月,mk,4/30(四),逢甲大學宣講會 & AI Coding,逢甲大學
4月,tr,4/30(四),多元講座 — 【UI/UX 設計】讓點子落地的介面設計與交互魔法,線上 · 講師：UI UX 學姊 · 14:00–17:00
5月,tr,5/7(四),多元講座 — 【AI Coding】從點子到 App 的最短路徑（上）,線上 · 18:30–21:30
5月,tr,5月上旬,多元講座 — UI/UX設計（實體）,TBC
5月,tr,5/8(五),RTC｜產品設計思考,臺灣大學 · 講師：Mia · 14:00–17:00
5月,tr,5/15(五),RTC｜空間體驗設計,臺灣大學 · 講師：Mia · 14:00–17:00
5月,mk,2026/5/15(五),逢甲大學 AI coding 工作坊,講師：Peter
5月,mk,5/20(三),臺灣大學宣講會 &【AI Coding 驅動創意】從點子到 App 的最短路徑,講師：13 · 09:30–12:30
5月,mk,5/20(三),海洋大學宣講會,海洋大學
5月,tr,5/21(四),多元講座 — AI模型整合實務：把AI變成App的大腦,線上
5月,tr,5/22(五),RTC｜空間應用元件設計,臺灣大學 · 講師：Mia · 14:00–17:00
5月,tr,5/29(五),RTC｜表達與溝通協商技巧,臺灣大學 · 講師：Apple 專業學習專家 · 14:00–17:00
5月,tr,5月下旬,多元講座 — 行銷與影片剪輯（實體）,TBC
5月,op,5/31(日),TW初賽 — 創新創意組報名截止 + 企劃書截止,線上網站
5月,tr,5/31(日),多元講座 — AI Coding Summer Camp 第二次宣傳體驗,TBC
6月,op,6/4(四),TW初賽 — 臺灣初賽評審,Apple HQ · Apple x5、企業代表x1、教育代表x1
6月,tr,6/5(五),RTC｜AI 剪輯新紀元：把時間還給創意，FCP AI 助你專注說好故事,臺灣大學 · 講師：Curly · 14:00–17:00
6月,op,6/10(三),TW初賽 — 臺灣初賽結果公布,線上網站
6月,tr,6/10(三),多元講座 — 包裝故事：行銷與AI影片剪輯,線上
6月,tr,6/17(三),多元講座 — 精確呈現與表達：提案簡報贏家秘笈,實體 · 講師：Matt
6月,tr,6/17(三),多元講座 — 賽場應對風範：答辯技巧,實體 · 講師：Daniel
6月,op,6/30(二),TW決賽 — 決賽隊伍繳交作品截止,線上網站
7月,op,7/7(二),TW決賽 — 臺灣決賽評審,臺灣大學綜合教學館 · Apple x5、企業代表x1、教育代表x1
7月,tr,7/16(四),多元講座 — AI Coding Summer Camp Day1,TBC
7月,tr,7/17(五),多元講座 — AI Coding Summer Camp Day2,TBC
8–10月,gc,8月中,GC 夏令營 — 開發者中心夏令營,杭州
8–10月,gc,10月底,GC 決賽 — MAIC 總決賽,浙江大學